Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Fouls Commited Shoot,Fouls Commited Off,Fouls Drawn Shoot,Fouls Drawn Off,PGA,And1,Blkd,Season
Cody Martin,SF,27,CHO,7.0,19.14,0.0,0.41,0.59,0.0,0.0,-7.6,-1.9,0.29,0.0,1.43,0.0,0.71,0.14,4.0,0.43,0.57,2023
Caleb Martin,SF,27,MIA,71.0,29.25,0.02,0.34,0.62,0.03,0.0,0.9,2.4,0.42,0.27,1.01,0.18,0.7,0.44,4.15,0.14,0.37,2023
Naji Marshall,SF,25,NOP,77.0,23.27,0.0,0.22,0.65,0.13,0.0,1.1,-1.9,0.73,0.19,0.82,0.13,1.08,0.06,5.78,0.32,0.51,2023
Lauri Markkanen,PF,25,UTA,66.0,34.44,0.0,0.0,0.2,0.62,0.18,3.2,10.0,0.47,0.8,0.97,0.53,2.56,0.14,4.83,0.68,0.98,2023
Julius Randle,PF,28,NYK,77.0,35.55,0.0,0.0,0.0,0.96,0.04,3.0,-0.5,0.94,0.97,1.13,0.56,3.19,0.12,10.55,1.05,0.74,2023
Austin Reaves,SG,24,LAL,64.0,28.8,0.0,0.44,0.48,0.08,0.0,5.2,8.7,0.77,0.42,1.09,0.12,1.83,0.69,8.12,0.59,0.3,2023
Cam Reddish,SF,23,TOT,40.0,24.75,0.0,0.01,0.84,0.16,0.0,-9.0,-9.7,0.42,0.62,1.15,0.02,1.02,0.12,3.4,0.28,0.5,2023
Moritz Wagner,C,25,ORL,57.0,19.46,0.0,0.0,0.0,0.06,0.94,-1.5,1.8,0.35,0.23,1.18,0.33,1.58,0.42,3.46,0.37,0.54,2023
Blake Wesley,SG,19,SAS,37.0,18.08,0.36,0.57,0.07,0.0,0.0,-14.5,-5.3,1.0,0.46,1.24,0.08,0.54,0.05,6.59,0.08,0.7,2023
Peyton Watson,SG,20,DEN,23.0,8.09,0.0,0.29,0.66,0.05,0.0,-14.5,-18.6,0.17,0.13,0.35,0.0,0.43,0.09,1.0,0.09,0.17,2023
Trendon Watford,PF,22,POR,62.0,19.06,0.0,0.0,0.01,0.44,0.55,-6.4,-4.0,0.44,0.24,1.0,0.29,0.82,0.23,5.02,0.19,0.23,2023
Lindy Waters III,SG,25,OKC,41.0,12.95,0.01,0.2,0.54,0.24,0.0,10.0,10.1,0.07,0.1,0.76,0.0,0.17,0.02,1.76,0.0,0.07,2023
Yuta Watanabe,SF,28,BRK,58.0,16.0,0.0,0.04,0.31,0.58,0.08,-1.2,-3.2,0.17,0.09,0.98,0.05,0.41,0.14,2.02,0.05,0.16,2023
TyTy Washington Jr.,PG,21,HOU,31.0,13.97,1.0,0.0,0.0,0.0,0.0,-5.3,3.3,0.26,0.13,0.65,0.03,0.26,0.13,3.42,0.06,0.13,2023
