Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Fouls Commited Shoot,Fouls Commited Off,Fouls Drawn Shoot,Fouls Drawn Off,PGA,And1,Blkd,Season
Kevin Durant,PF,34,PHO,8,269,,,2,94,4,13.6,12.6,13,4,3,2,19,1,64,4,4,2023
Jalen Duren,C,19,DET,67,1670,,,,9,91,-8.4,0.1,33,16,97,31,77,2,174,17,35,2023
Tari Eason,PF,21,HOU,82,1767,,,22,77,1,-4.0,7.9,39,28,99,15,81,3,213,21,67,2023
Anthony Edwards,SG,21,MIN,79,2842,2,68,28,2,,1.0,4.0,127,88,72,22,206,5,861,64,59,2023
Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2023
Kessler Edwards,SF,22,TOT,36,385,,18,66,15,,1.7,-0.4,6,4,23,2,3,4,60,0,5,2023
Kessler Edwards,SF,22,BRK,14,79,,,37,62,1,-1.9,-3.2,4,0,2,0,1,0,4,0,1,2023
Kessler Edwards,SF,22,SAC,22,306,,23,74,3,,2.6,0.3,2,4,21,2,2,4,56,0,4,2023
Keon Ellis,SG,23,SAC,16,71,3,65,32,,,-16.8,-19.5,1,0,8,0,2,0,14,0,0,2023
Joel Embiid,C,28,PHI,66,2284,,,,,100,9.1,10.2,75,91,111,33,362,3,702,77,91,2023
Drew Eubanks,C,25,POR,78,1584,,,,3,97,-3.0,1.1,26,13,111,20,51,12,262,12,9,2023
Bruno Fernando,C,24,TOT,39,405,,,,,100,-8.3,-1.0,7,5,36,10,23,1,77,4,14,2023
Bruno Fernando,C,24,HOU,31,364,,,,,100,-8.9,-0.6,5,4,33,8,19,1,74,2,14,2023
Bruno Fernando,C,24,ATL,8,41,,,,,100,-3.6,-4.0,2,1,3,2,4,0,3,2,0,2023
Dorian Finney-Smith,PF,29,TOT,66,2009,,,27,63,10,0.4,-0.2,33,10,81,9,27,4,250,9,20,2023
Dorian Finney-Smith,PF,29,DAL,40,1288,,,13,78,9,0.8,0.8,18,6,38,7,17,3,152,6,9,2023
Dorian Finney-Smith,PF,29,BRK,26,721,,,52,37,12,-0.3,-1.9,15,4,43,2,10,1,98,3,11,2023
Malachi Flynn,PG,24,TOR,53,691,100,,,,,-2.7,-4.7,13,8,34,3,13,5,161,4,9,2023
Simone Fontecchio,SF,27,UTA,52,766,,13,58,29,,-13.2,-15.1,17,10,29,4,19,2,103,3,16,2023
Bryn Forbes,SG,29,MIN,25,268,56,44,,,,-7.7,-8.1,4,3,11,0,8,1,42,2,5,2023
Trent Forrest,SG,24,ATL,23,277,29,66,6,,,-8.4,-9.5,12,2,12,0,2,1,92,1,7,2023
Michael Foster Jr.,PF,20,PHI,1,1,,,,,100,-200.0,-204.8,0,0,0,0,0,0,0,0,0,2023
Evan Fournier,SG,30,NYK,27,459,,5,95,,,-4.7,-8.9,11,7,19,3,5,3,88,0,4,2023
De'Aaron Fox,PG,25,SAC,73,2435,100,,,,,2.6,0.9,90,71,80,7,210,34,1103,52,53,2023
Markelle Fultz,PG,24,ORL,60,1778,75,25,,,,-4.2,-2.5,73,33,60,19,56,7,835,19,40,2023
Wenyen Gabriel,C,25,LAL,68,1024,,,,22,78,0.5,-0.1,11,8,86,21,41,4,91,16,18,2023
Daniel Gafford,C,24,WAS,78,1604,,,,32,68,-2.1,-1.4,21,24,120,32,97,7,201,36,28,2023
Darius Garland,PG,23,CLE,69,2447,97,3,,,,7.9,5.9,96,56,59,11,124,43,1214,25,54,2023
Usman Garuba,C,20,HOU,75,970,,,,7,93,-11.1,-3.8,15,6,71,15,17,5,152,5,19,2023
Luka Garza,C,24,MIN,28,243,,,,,100,1.3,1.6,1,4,21,7,22,3,43,5,8,2023
Rudy Gay,PF,36,UTA,56,816,,,23,57,20,3.1,5.3,17,9,38,3,22,2,140,3,2,2023
Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2023
Paul George,SF,32,LAC,56,1939,,5,69,26,1,3.6,5.9,98,47,80,18,115,16,714,23,37,2023
Taj Gibson,C,37,WAS,49,480,,,,18,82,-1.6,-0.4,7,5,39,8,17,5,82,4,8,2023
Josh Giddey,PF,20,OKC,76,2367,,1,17,67,15,-2.7,-9.5,127,57,85,12,81,1,1119,31,83,2023
Shai Gilgeous-Alexander,PG,24,OKC,68,2416,84,17,,,,3.1,4.9,84,64,78,30,322,15,942,57,97,2023
Anthony Gill,PF,30,WAS,59,624,,,30,66,5,0.2,1.8,8,3,44,2,30,8,81,8,10,2023
Jacob Gilyard,PG,24,MEM,1,41,100,,,,,-12.6,-16.3,2,0,2,0,0,0,17,0,0,2023
Rudy Gobert,C,30,MIN,70,2148,,,,,100,-0.3,-0.3,27,40,108,35,165,4,213,45,40,2023
