Name,Position,Shoots,Date Born,College,NBA Debut,Experience,Player Image,Height,Weight,Draft Team,Draft Year,Draft Round
Stephen Curry, Point Guard, Right,1988-03-14,Davidson,2009-10-28,14,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,188,83,Golden State Warriors,2009,1st round
Kevin Durant," Small Forward, Power Forward, and Shooting Guard", Right,1988-09-29,Texas,2007-10-31,15,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,208,108,Seattle SuperSonics,2007,1st round
Nikola Jokić, Center, Right,1995-02-19,No College,2015-10-28,8,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,211,128,Denver Nuggets,2014,2nd round
Joel Embiid, Center, Right,1994-03-16,Kansas,2016-10-26,7,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,213,127,Philadelphia 76ers,2014,1st round
LeBron James," Small Forward, Power Forward, Point Guard, Center, and Shooting Guard", Right,1984-12-30,No College,2003-10-29,20,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,206,113,Cleveland Cavaliers,2003,1st round
Bradley Beal, Shooting Guard, Right,1993-06-28,Florida,2012-10-30,11,https://www.basketball-reference.com/req/202106291/images/headshots/bealbr01.jpg,193,93,Washington Wizards,2012,1st round
Damian Lillard, Point Guard, Right,1990-07-15,Weber State,2012-10-31,11,https://www.basketball-reference.com/req/202106291/images/headshots/lillada01.jpg,188,88,Portland Trail Blazers,2012,1st round
Giannis Antetokounmpo," Power Forward, Small Forward, Point Guard, and Shooting Guard", Right,1994-12-06,No College,2013-10-30,10,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,213,109,Milwaukee Bucks,2013,1st round
Kawhi Leonard, Small Forward, Right,1991-06-29,San Diego State,2011-12-26,11,https://www.basketball-reference.com/req/202106291/images/headshots/leonaka01.jpg,201,102,Indiana Pacers,2011,1st round
Paul George," Small Forward, Shooting Guard, and Power Forward", Right,1990-05-02,Fresno State,2010-10-27,13,https://www.basketball-reference.com/req/202106291/images/headshots/georgpa01.jpg,203,99,Indiana Pacers,2010,1st round
Jimmy Butler," Small Forward, Shooting Guard, and Power Forward", Right,1989-09-14,Marquette,2012-01-01,12,https://www.basketball-reference.com/req/202106291/images/headshots/butleji01.jpg,201,104,Chicago Bulls,2011,1st round
Klay Thompson, Shooting Guard and Small Forward, Right,1990-02-08,Washington State,2011-12-25,10,https://www.basketball-reference.com/req/202106291/images/headshots/thompkl01.jpg,198,97,Golden State Warriors,2011,1st round
Rudy Gobert, Center, Right,1992-06-26,No College,2013-10-30,10,https://www.basketball-reference.com/req/202106291/images/headshots/goberru01.jpg,216,117,Denver Nuggets,2013,1st round
Fred VanVleet, Point Guard and Shooting Guard, Right,1994-02-25,Wichita State,2016-11-09,7,https://www.basketball-reference.com/req/202106291/images/headshots/vanvlfr01.jpg,185,89,Not Drafted,Not Drafted,Not Drafted
Anthony Davis, Center and Power Forward, Right,1993-03-11,Kentucky,2012-10-31,11,https://www.basketball-reference.com/req/202106291/images/headshots/davisan02.jpg,208,114,New Orleans Hornets,2012,1st round
Trae Young, Point Guard, Right,1998-09-19,Oklahoma,2018-10-17,5,https://www.basketball-reference.com/req/202106291/images/headshots/youngtr01.jpg,185,74,Dallas Mavericks,2018,1st round
Luka Dončić, Point Guard and Shooting Guard, Right,1999-02-28,No College,2018-10-17,5,https://www.basketball-reference.com/req/202106291/images/headshots/doncilu01.jpg,201,104,Atlanta Hawks,2018,1st round
Zach LaVine," Shooting Guard, Small Forward, and Point Guard", Right,1995-03-10,UCLA,2014-10-30,9,https://www.basketball-reference.com/req/202106291/images/headshots/lavinza01.jpg,196,90,Minnesota Timberwolves,2014,1st round
Tobias Harris, Power Forward and Small Forward, Right,1992-07-15,Tennessee,2012-01-07,12,https://www.basketball-reference.com/req/202106291/images/headshots/harrito02.jpg,203,102,Charlotte Bobcats,2011,1st round
Ben Simmons, Point Guard, Left,1996-07-20,LSU,2017-10-18,5,https://www.basketball-reference.com/req/202106291/images/headshots/simmobe01.jpg,208,108,Philadelphia 76ers,2016,1st round
Pascal Siakam, Power Forward, Right,1994-04-02,New Mexico State,2016-10-26,7,https://www.basketball-reference.com/req/202106291/images/headshots/siakapa01.jpg,206,104,Toronto Raptors,2016,1st round
Kyrie Irving, Point Guard and Shooting Guard, Right,1992-03-23,Duke,2011-12-26,12,https://www.basketball-reference.com/req/202106291/images/headshots/irvinky01.jpg,188,88,Cleveland Cavaliers,2011,1st round
Jrue Holiday, Point Guard and Shooting Guard, Right,1990-06-12,UCLA,2009-10-30,14,https://www.basketball-reference.com/req/202106291/images/headshots/holidjr01.jpg,193,92,Philadelphia 76ers,2009,1st round
Devin Booker, Shooting Guard, Right,1996-10-30,Kentucky,2015-10-28,8,https://www.basketball-reference.com/req/202106291/images/headshots/bookede01.jpg,196,93,Phoenix Suns,2015,1st round
Karl-Anthony Towns, Center and Power Forward, Right,1995-11-15,Kentucky,2015-10-28,8,https://www.basketball-reference.com/req/202106291/images/headshots/townska01.jpg,211,112,Minnesota Timberwolves,2015,1st round
Kristaps Porziņģis, Power Forward and Center, Right,1995-08-02,No College,2015-10-28,7,https://www.basketball-reference.com/req/202106291/images/headshots/porzikr01.jpg,221,108,New York Knicks,2015,1st round
CJ McCollum, Shooting Guard, Right,1991-09-19,Lehigh,2014-01-08,10,https://www.basketball-reference.com/req/202106291/images/headshots/mccolcj01.jpg,190,86,Portland Trail Blazers,2013,1st round
James Harden, Shooting Guard and Point Guard, Left,1989-08-26,Arizona State,2009-10-28,14,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,196,99,Oklahoma City Thunder,2009,1st round
Zion Williamson, Power Forward, Left,2000-07-06,Duke,2020-01-22,3,https://www.basketball-reference.com/req/202106291/images/headshots/willizi01.jpg,198,128,New Orleans Pelicans,2019,1st round
Ja Morant, Point Guard, Right,1999-08-10,Murray State,2019-10-23,4,https://www.basketball-reference.com/req/202106291/images/headshots/moranja01.jpg,190,78,Memphis Grizzlies,2019,1st round
Darius Garland, Point Guard and Shooting Guard, Right,2000-01-26,Vanderbilt,2019-10-23,4,https://www.basketball-reference.com/req/202106291/images/headshots/garlada01.jpg,185,87,Cleveland Cavaliers,2019,1st round
Brandon Ingram, Small Forward and Power Forward, Right,1997-09-02,Duke,2016-10-26,7,https://www.basketball-reference.com/req/202106291/images/headshots/ingrabr01.jpg,203,86,Los Angeles Lakers,2016,1st round
Jamal Murray, Point Guard and Shooting Guard, Right,1997-02-23,Kentucky,2016-10-26,6,https://www.basketball-reference.com/req/202106291/images/headshots/murraja01.jpg,193,97,Denver Nuggets,2016,1st round
Shai Gilgeous-Alexander, Point Guard and Shooting Guard, Right,1998-07-12,Kentucky,2018-10-17,5,https://www.basketball-reference.com/req/202106291/images/headshots/gilgesh01.jpg,198,81,Charlotte Hornets,2018,1st round
Michael Porter Jr., Small Forward, Right,1998-06-29,Missouri,2019-10-31,4,https://www.basketball-reference.com/req/202106291/images/headshots/portemi01.jpg,208,98,Denver Nuggets,2018,1st round
Donovan Mitchell, Shooting Guard and Point Guard, Right,1996-09-07,Louisville,2017-10-18,6,https://www.basketball-reference.com/req/202106291/images/headshots/mitchdo01.jpg,185,97,Denver Nuggets,2017,1st round
De'Aaron Fox, Point Guard, Left,1997-12-20,Kentucky,2017-10-18,6,https://www.basketball-reference.com/req/202106291/images/headshots/foxde01.jpg,190,83,Sacramento Kings,2017,1st round
Bam Adebayo, Center and Power Forward, Right,1997-07-18,Kentucky,2017-10-18,6,https://www.basketball-reference.com/req/202106291/images/headshots/adebaba01.jpg,206,115,Miami Heat,2017,1st round
Jayson Tatum, Small Forward and Power Forward, Right,1998-03-03,Duke,2017-10-17,6,https://www.basketball-reference.com/req/202106291/images/headshots/tatumja01.jpg,203,95,Boston Celtics,2017,1st round
Deandre Ayton, Center, Right,1998-07-23,Arizona,2018-10-17,5,https://www.basketball-reference.com/req/202106291/images/headshots/aytonde01.jpg,211,113,Phoenix Suns,2018,1st round
Jaylen Brown, Shooting Guard and Small Forward, Right,1996-10-24,California,2016-10-26,7,https://www.basketball-reference.com/req/202106291/images/headshots/brownja02.jpg,198,101,Boston Celtics,2016,1st round
Gordon Hayward, Small Forward and Power Forward, Right,1990-03-23,Butler,2010-10-27,13,https://www.basketball-reference.com/req/202106291/images/headshots/haywago01.jpg,201,102,Utah Jazz,2010,1st round
Chris Paul, Point Guard, Right,1985-05-06,Wake Forest,2005-11-01,18,https://www.basketball-reference.com/req/202106291/images/headshots/paulch01.jpg,183,79,New Orleans Hornets,2005,1st round
Domantas Sabonis, Power Forward and Center, Left,1996-05-03,Gonzaga,2016-10-26,7,https://www.basketball-reference.com/req/202106291/images/headshots/sabondo01.jpg,211,108,Orlando Magic,2016,1st round
Kyle Lowry, Point Guard, Right,1986-03-25,Villanova,2006-11-01,17,https://www.basketball-reference.com/req/202106291/images/headshots/lowryky01.jpg,183,88,Memphis Grizzlies,2006,1st round
Khris Middleton, Small Forward and Shooting Guard, Right,1991-08-12,Texas A&amp;M,2012-11-10,11,https://www.basketball-reference.com/req/202106291/images/headshots/middlkh01.jpg,201,100,Detroit Pistons,2012,2nd round
DeMar DeRozan," Shooting Guard, Small Forward, and Power Forward", Right,1989-08-07,USC,2009-10-28,14,https://www.basketball-reference.com/req/202106291/images/headshots/derozde01.jpg,198,99,Toronto Raptors,2009,1st round
Julius Randle, Power Forward and Center, Left,1994-11-29,Kentucky,2014-10-28,9,https://www.basketball-reference.com/req/202106291/images/headshots/randlju01.jpg,203,113,Los Angeles Lakers,2014,1st round
Jerami Grant, Power Forward and Small Forward, Right,1994-03-12,Syracuse,2014-11-29,9,https://www.basketball-reference.com/req/202106291/images/headshots/grantje01.jpg,203,95,Philadelphia 76ers,2014,2nd round
Jordan Poole, Shooting Guard and Point Guard, Right,1999-06-19,Michigan,2019-10-24,4,https://www.basketball-reference.com/req/202106291/images/headshots/poolejo01.jpg,193,87,Golden State Warriors,2019,1st round
Jaren Jackson Jr., Center and Power Forward, Right,1999-09-15,Michigan State,2018-10-17,5,https://www.basketball-reference.com/req/202106291/images/headshots/jacksja02.jpg,211,109,Memphis Grizzlies,2018,1st round
Tyler Herro, Shooting Guard, Right,2000-01-20,Kentucky,2019-10-23,4,https://www.basketball-reference.com/req/202106291/images/headshots/herroty01.jpg,196,88,Miami Heat,2019,1st round
Jalen Brunson, Point Guard and Shooting Guard, Left,1996-08-31,Villanova,2018-10-17,5,https://www.basketball-reference.com/req/202106291/images/headshots/brunsja01.jpg,188,86,Dallas Mavericks,2018,2nd round
Cameron Johnson, Power Forward, Right,1996-03-03,No College,2019-10-26,4,https://www.basketball-reference.com/req/202106291/images/headshots/johnsca02.jpg,203,95,Minnesota Timberwolves,2019,1st round
Kyle Kuzma, Power Forward and Small Forward, Right,1995-07-24,Utah,2017-10-19,6,https://www.basketball-reference.com/req/202106291/images/headshots/kuzmaky01.jpg,206,100,Brooklyn Nets,2017,1st round
John Collins, Power Forward, Right,1997-09-23,Wake Forest,2017-10-18,6,https://www.basketball-reference.com/req/202106291/images/headshots/collijo01.jpg,206,106,Atlanta Hawks,2017,1st round
Brook Lopez, Center, Right,1988-04-01,Stanford,2008-10-29,15,https://www.basketball-reference.com/req/202106291/images/headshots/lopezbr01.jpg,213,127,New Jersey Nets,2008,1st round
Mike Conley, Point Guard, Left,1987-10-11,Ohio State,2007-11-07,16,https://www.basketball-reference.com/req/202106291/images/headshots/conlemi01.jpg,185,79,Memphis Grizzlies,2007,1st round
Andrew Wiggins, Small Forward and Power Forward, Right,1995-02-23,Kansas,2014-10-29,9,https://www.basketball-reference.com/req/202106291/images/headshots/wiggian01.jpg,201,89,Cleveland Cavaliers,2014,1st round
Anfernee Simons, Shooting Guard, Right,1999-06-08,No College,2018-10-30,5,https://www.basketball-reference.com/req/202106291/images/headshots/simonan01.jpg,190,82,Portland Trail Blazers,2018,1st round
RJ Barrett, Shooting Guard and Small Forward, Left,2000-06-14,Duke,2019-10-23,4,https://www.basketball-reference.com/req/202106291/images/headshots/barrerj01.jpg,198,97,New York Knicks,2019,1st round
Jordan Clarkson, Shooting Guard and Point Guard, Right,1992-06-07,No College,2014-10-28,9,https://www.basketball-reference.com/req/202106291/images/headshots/clarkjo01.jpg,193,87,Washington Wizards,2014,2nd round
Terry Rozier, Point Guard and Shooting Guard, Right,1994-03-17,Louisville,2015-10-28,8,https://www.basketball-reference.com/req/202106291/images/headshots/roziete01.jpg,185,86,Boston Celtics,2015,1st round
Dillon Brooks, Small Forward and Shooting Guard, Right,1996-01-22,Oregon,2017-10-18,6,https://www.basketball-reference.com/req/202106291/images/headshots/brookdi01.jpg,201,102,Houston Rockets,2017,2nd round
