Name,Position,Shoots,Date Born,College,NBA Debut,Experience,Player Image,Height,Weight,Draft Team,Draft Year,Draft Round
Monte Morris, Point Guard, Right,1995-06-27,Iowa State,2017-12-12,6,https://www.basketball-reference.com/req/202106291/images/headshots/morrimo01.jpg,188,83,Denver Nuggets,2017,2nd round
Scoot Henderson, Point Guard, Right,2004-02-03,No College,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/hendesc01.jpg,190,91,Portland Trail Blazers,2023,1st round
Nic Claxton, Center, Left,1999-04-17,Georgia,2019-11-08,4,https://www.basketball-reference.com/req/202106291/images/headshots/claxtni01.jpg,211,97,Brooklyn Nets,2019,2nd round
Jeff Green," Power Forward, Small Forward, and Center", Right,1986-08-28,Georgetown,2007-10-31,15,https://www.basketball-reference.com/req/202106291/images/headshots/greenje02.jpg,203,106,Boston Celtics,2007,1st round
Royce O'Neale, Small Forward, Right,1993-06-05,No College,2017-10-21,6,https://www.basketball-reference.com/req/202106291/images/headshots/onealro01.jpg,193,102,Not Drafted,Not Drafted,Not Drafted
Alex Caruso, Point Guard and Shooting Guard, Right,1994-02-28,Texas A&amp;M,2017-10-19,6,https://www.basketball-reference.com/req/202106291/images/headshots/carusal01.jpg,193,84,Not Drafted,Not Drafted,Not Drafted
Victor Oladipo, Shooting Guard and Point Guard, Right,1992-05-04,Indiana,2013-10-29,10,https://www.basketball-reference.com/req/202106291/images/headshots/oladivi01.jpg,193,96,Orlando Magic,2013,1st round
Pat Connaughton, Shooting Guard and Small Forward, Right,1993-01-06,Notre Dame,2015-10-30,8,https://www.basketball-reference.com/req/202106291/images/headshots/connapa01.jpg,196,94,Brooklyn Nets,2015,2nd round
Jabari Smith Jr., Power Forward, Right,2003-05-13,Auburn,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/smithja05.jpg,208,99,Houston Rockets,2022,1st round
Isaiah Hartenstein, Center and Power Forward, Left,1998-05-05,No College,2018-10-17,5,https://www.basketball-reference.com/req/202106291/images/headshots/harteis01.jpg,213,113,Houston Rockets,2017,2nd round
Kyle Anderson, Small Forward and Power Forward, Right,1993-09-20,UCLA,2014-11-06,9,https://www.basketball-reference.com/req/202106291/images/headshots/anderky01.jpg,206,104,San Antonio Spurs,2014,1st round
Daniel Theis, Center, Right,1992-04-04,No College,2017-10-18,6,https://www.basketball-reference.com/req/202106291/images/headshots/theisda01.jpg,203,111,Not Drafted,Not Drafted,Not Drafted
Grayson Allen, Shooting Guard, Right,1995-10-08,Duke,2018-10-22,5,https://www.basketball-reference.com/req/202106291/images/headshots/allengr01.jpg,193,89,Utah Jazz,2018,1st round
Isaac Okoro, Small Forward and Shooting Guard, Right,2001-01-26,Auburn,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/okorois01.jpg,196,102,Cleveland Cavaliers,2020,1st round
Evan Mobley, Power Forward, Right,2001-06-18,USC,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/mobleev01.jpg,213,97,Cleveland Cavaliers,2021,1st round
Amen Thompson, Small Forward, Right,2003-01-30,No College,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/thompam01.jpg,201,94,Houston Rockets,2023,1st round
Georges Niang, Power Forward, Right,1993-06-17,Iowa State,2016-10-28,7,https://www.basketball-reference.com/req/202106291/images/headshots/niangge01.jpg,201,104,Indiana Pacers,2016,2nd round
Gary Payton II," Point Guard, Shooting Guard, and Small Forward", Left,1992-12-01,Oregon State,2017-04-02,7,https://www.basketball-reference.com/req/202106291/images/headshots/paytoga02.jpg,190,86,Not Drafted,Not Drafted,Not Drafted
T.J. McConnell, Point Guard, Right,1992-03-25,No College,2015-10-28,8,https://www.basketball-reference.com/req/202106291/images/headshots/mccontj01.jpg,185,86,Not Drafted,Not Drafted,Not Drafted
Keegan Murray, Small Forward, Right,2000-08-19,Iowa,2022-10-22,1,https://www.basketball-reference.com/req/202106291/images/headshots/murrake02.jpg,203,97,Sacramento Kings,2022,1st round
Delon Wright, Point Guard and Shooting Guard, Right,1992-04-26,Utah,2015-11-01,8,https://www.basketball-reference.com/req/202106291/images/headshots/wrighde01.jpg,196,83,Toronto Raptors,2015,1st round
Onyeka Okongwu, Center, Right,2000-12-11,USC,2021-01-15,3,https://www.basketball-reference.com/req/202106291/images/headshots/okongon01.jpg,203,106,Atlanta Hawks,2020,1st round
Scottie Barnes, Small Forward and Power Forward, Right,2001-08-01,Florida State,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/barnesc01.jpg,206,102,Toronto Raptors,2021,1st round
Jock Landale, Center, Right,1995-10-25,Saint Mary\'s,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/landajo01.jpg,211,116,Not Drafted,Not Drafted,Not Drafted
Trey Lyles, Power Forward, Right,1995-11-05,Kentucky,2015-10-28,8,https://www.basketball-reference.com/req/202106291/images/headshots/lylestr01.jpg,206,106,Utah Jazz,2015,1st round
De'Anthony Melton, Point Guard and Shooting Guard, Right,1998-05-28,USC,2018-10-22,5,https://www.basketball-reference.com/req/202106291/images/headshots/meltode01.jpg,188,90,Houston Rockets,2018,2nd round
Moritz Wagner, Center, Right,1997-04-26,Michigan,2018-11-17,5,https://www.basketball-reference.com/req/202106291/images/headshots/wagnemo01.jpg,211,111,Los Angeles Lakers,2018,1st round
Thaddeus Young, Power Forward, Left,1988-06-21,Georgia Tech,2007-11-07,16,https://www.basketball-reference.com/req/202106291/images/headshots/youngth01.jpg,203,106,Philadelphia 76ers,2007,1st round
Ausar Thompson, Small Forward, Right,2003-01-30,No College,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/thompau01.jpg,201,97,Detroit Pistons,2023,1st round
Miles Bridges, Small Forward and Power Forward, Left,1998-03-21,Michigan State,2018-10-17,4,https://www.basketball-reference.com/req/202106291/images/headshots/bridgmi02.jpg,198,102,Los Angeles Clippers,2018,1st round
Vasilije Micić, Point Guard, Right,1994-01-13,No College,,0,https://www.basketball-reference.com/req/202106291/images/headshots/micicva01.jpg,196,90,Philadelphia 76ers,2014,2nd round
Paul Reed, Center and Power Forward, Right,1999-06-14,DePaul,2021-01-04,3,https://www.basketball-reference.com/req/202106291/images/headshots/reedpa01.jpg,206,95,Philadelphia 76ers,2020,2nd round
